Example_Number,Gatschet&Swanton,Modern_Ortho,Gloss.1,Gloss.2,Gloss.3,Gloss.4,Gloss.5,Gloss.6,Translation,Raw_Block,Gloss.5_Fixed
1,[icak taˊ-ic oˊkiăn yukitnē mon ialpeˊhiulĕt],iša·k táyš ókya yukit né· mo·n yálpéhiulat,iša·k     táyš      ok=ya     yukit né· mo·n,person    strange   come=and  our  land all,yál-péh-i-ul-at,take-finish-CAUS-3PLS-PRET,iša·k     táyš      ok=ya     yukit né· mo·n    yál-péh-i-ul-at,person    strange   come=and  our  land all    take-finish-CAUS-3PLS-PRET,‘Strange people have come and completely taken all of our land.’ (1932:88:1),"[icak taˊ-ic oˊkiăn yukitnē mon ialpeˊhiulĕt]                        
                                                                                    
          1)   iša·k táyš ókya yukit né· mo·n yálpéhiulat                           
                                                                                    
               iša·k     tayš      ok=ya     yukit ne· mo·n                         
                                                                                    
                                                                                    
               person    strange   come=and  our  land all                          
                                                                                    
               yal-peh-i-ul-at                                                      
                                                                                    
               take-finish-CAUS-3PLS-PRET                                           
                                                                                    
               ‘Strange people have come and completely taken all of our land.’ (1932:88:1)",iša·k     táyš      ók=ya     yukit né· mo·n    yál-péh-i-ul-at
2,[uctiˊkit],ùštikit,Ø-ùš-tikit,3STATS-be.so-FUT,,,Ø-ùš-tikit    ,3STATS-be.so-FUT    ,‘It will be so.’ (1932:139:2),"[uctiˊkit]                                                           
                                                                                    
          2)   ùštikit                                                              
                                                                                    
               ø-uš-tikit                                                           
                                                                                    
               3STATS-be.so-FUT                                                     
                                                                                    
               ‘It will be so.’ (1932:139:2)",Ø-ùš-tikit    
3,[hikuˊ wi nuˊk tik iˊka koˊ],hikú wi núk tikhikàkóh,hiku wi   nuk  tik-hi-ka-koh,soup I    self go.and-1SSTATS-make-DESID,,,hiku wi   nuk  tik-hi-ka-koh    ,soup I    self go.and-1SSTATS-make-DESID    ,‘I myself want to go and make soup.’ (1932:41:1),"[hikuˊ wi nuˊk tik iˊka koˊ]                                         
                                                                                    
          3)   hikú wi núk tikhikàkóh                                               
                                                                                    
               hiku wi   nuk  tik-hi-ka-koh                                         
                                                                                    
               soup I    self go.and-1SSTATS-make-DESID                             
                                                                                    
                                                                                    
               ‘I myself want to go and make soup.’ (1932:41:1)",hikú wi   núk  tik-hi-kà-kóh    
4,[na ˊ-ic ĕncoˊkoi],náiš n̥šokòy,na-iš     n̥-šokòy,you(sg)-FOC 2STATS-be.chief,,,na-iš     n̥-šokòy    ,you(sg)-FOC 2STATS-be.chief    ,‘You are a chief.’ (1932:83:1),"[na ˊ-ic ĕncoˊkoi]                                                   
                                                                                    
          4)   náiš n̥šokòy                                                         
                                                                                    
               na-iš     n̥-šokòy                                                   
                                                                                    
               you(sg)-FOC 2STATS-be.chief                                          
                                                                                    
               ‘You are a chief.’ (1932:83:1)",ná-iš     n̥-šokòy    
5,,há·š šokòy,ha-iš     ø-šokòy,he-foc    3STATS-be.chief,,,ha-iš     ø-šokòy    ,he-foc    3STATS-be.chief    ,‘He is a chief.’ (1932:69:1),"5)   há·š šokòy                                                           
                                                                                    
               ha-iš     ø-šokòy                                                    
                                                                                    
               he-foc    3STATS-be.chief                                            
                                                                                    
               ‘He is a chief.’ (1932:69:1)",há-·š     ø-šokòy    
6,[hikīˊke iˊcak],hikí·ke išà·k,hiki-ike  ø-išà·k,west-EL   3STATS-be.person,,,hiki-ike  ø-išà·k    ,west-EL   3STATS-be.person    ,‘He is a man from the west.’ (1932:40:2),"[hikīˊke iˊcak]                                                      
                                                                                    
          6)   hikí·ke išà·k                                                        
                                                                                    
               hiki-ike  ø-išà·k                                                    
                                                                                    
                                                                                    
               west-EL   3STATS-be.person                                           
                                                                                    
               ‘He is a man from the west.’ (1932:40:2)",hikí-·ke  ø-išà·k    
7,[Taˊkapo kic yukiˊti nuˊnkin kēˊt’ntat],tákapa kìš yukhíti núŋkin ké·tn̥ tat,takapa    ø-kìš          yukhiti   nuŋ-kin   ke·t-n̥ ta-t,Atakapa   3STATS-be.woman Indian   village-LOC dwell-CONTIN-PRET,,,takapa    ø-kìš          yukhiti   nuŋ-kin   ke·t-n̥ ta-t    ,Atakapa   3STATS-be.woman Indian   village-LOC dwell-CONTIN-PRET    ,"‘She was an Atakapa woman, and she used to live in an Indian village.’ (1932:14:70-1)","[Taˊkapo kic yukiˊti nuˊnkin kēˊt’ntat]                              
                                                                                    
          7)   tákapa kìš yukhíti núŋkin ké·tn̥ tat                                 
                                                                                    
               takapa    ø-kìš          yukhiti   nuŋ-kin   ke·t-n̥ ta-t            
                                                                                    
               Atakapa   3STATS-be.woman Indian   village-LOC dwell-CONTIN-PRET     
                                                                                    
               ‘She was an Atakapa woman, and she used to live in an Indian village.’ (1932:14:70-1)",tákapa    ø-kìš          yukhíti   núŋ-kin   ké·t-n̥ ta-t    
8,[viˊvulat],wíwulat,wíw-ul-at,believe-3PLS-PRET,,,wíw-ul-at    ,believe-3PLS-PRET    ,‘They believed it.’ (1932:18:121),"[viˊvulat]                                                           
                                                                                    
          8)   wíwulat                                                              
                                                                                    
               wíw-ul-at                                                            
                                                                                    
               believe-3PLS-PRET                                                    
                                                                                    
               ‘They believed it.’ (1932:18:121)",wíw-ul-at    
9,[ok-inaˊtsûlat],hokináculat,hok-inác-ul-at,RECIP-fight-3PLS-PRET,,,hok-inác-ul-at    ,RECIP-fight-3PLS-PRET    ,‘They fought each other.’ (1932:20:144),"[ok-inaˊtsûlat]                                                      
                                                                                    
          9)   hokináculat                                                          
                                                                                    
               hok-inác-ul-at                                                       
                                                                                    
               RECIP-fight-3PLS-PRET                                                
                                                                                    
               ‘They fought each other.’ (1932:20:144)",hok-inác-ul-at    
10,[laˊwi-ulat],láwiulat,láw-i-ul-at,burn-CAUS-3PLS-PRET,,,láw-i-ul-at    ,burn-CAUS-3PLS-PRET    ,‘They burned it.’ (1932:19:138),"[laˊwi-ulat]                                                         
                                                                                    
          10)  láwiulat                                                             
                                                                                    
               láw-i-ul-at                                                          
                                                                                    
               burn-CAUS-3PLS-PRET                                                  
                                                                                    
                                                                                    
               ‘They burned it.’ (1932:19:138)",láw-i-ul-at    
11,[wineˊ-ulat],winéulat,winé-ul-at,find-3PLS-PRET,,,winé-ul-at    ,find-3PLS-PRET    ,‘They found her.’ (1932:10:29),"[wineˊ-ulat]                                                         
                                                                                    
          11)  winéulat                                                             
                                                                                    
               winé-ul-at                                                           
                                                                                    
               find-3PLS-PRET                                                       
                                                                                    
               ‘They found her.’ (1932:10:29)",winé-ul-at    
12,,ótikit,ø-ó-tikit,3STATS-be.located.there-FUT,,,ø-ó-tikit    ,3STATS-be.located.there-FUT    ,‘It will be located there.’ (1932:28:1),"12)  ótikit                                                               
                                                                                    
               ø-ó-tikit                                                            
                                                                                    
               3STATS-be.located.there-FUT                                          
                                                                                    
               ‘It will be located there.’ (1932:28:1)",ø-ó-tikit    
13,[icyāˊmcĕhĕ],išyá·mšehe,iš-yá·mš-ehe,1PLSTATS-gather-DUB,,,iš-yá·mš-ehe    ,1PLSTATS-gather-DUB    ,‘We might gather it.’ (1932:13:49),"[icyāˊmcĕhĕ]                                                         
                                                                                    
          13)  išyá·mšehe                                                           
                                                                                    
               iš-yá·mš-ehe                                                         
                                                                                    
                                                                                    
               1PLSTATS-gather-DUB                                                  
                                                                                    
               ‘We might gather it.’ (1932:13:49)",iš-yá·mš-ehe    
16,,išpácháhat,iš-pác-háh-at,1PLO-beat-NEG-PRET,,,iš-pác-háh-at    ,1PLO-beat-NEG-PRET    ,‘He did not beat us.’ (1932:16:103),"16)  išpácháhat                                                           
                                                                                    
               iš-pác-háh-at                                                        
                                                                                    
               1PLO-beat-NEG-PRET                                                   
                                                                                    
               ‘He did not beat us.’ (1932:16:103)",iš-pác-háh-at    
17,[kaˊ-u haˊnĕt],káwhánat,ø-káw-hán-at,3STATS-die(sg)-ALMOST-PRET,,,ø-káw-hán-at    ,3STATS-die(sg)-ALMOST-PRET    ,‘She almost died.’ (1932:13:55),"[kaˊ-u haˊnĕt]                                                       
                                                                                    
          17)  káwhánat                                                             
                                                                                    
               ø-káw-hán-at                                                         
                                                                                    
                                                                                    
               3STATS-die(sg)-ALMOST-PRET                                           
                                                                                    
               ‘She almost died.’ (1932:13:55)",ø-káw-hán-at    
18,[cukaˊhāˊñctin],šoká·kháŋštin,šoká·k-háŋš-ti-n,ceremonial.dance-FINISH-PST.PROG-WHEN,,,šoká·k-háŋš-ti-n    ,ceremonial.dance-FINISH-PST.PROG-WHEN    ,‘When they had finished the ceremonial dance…’ (1932:18:124-25),"[cukaˊhāˊñctin]                                                      
                                                                                    
          18)  šoká·kháŋštin                                                        
                                                                                    
               šoká·k-háŋš-ti-n                                                     
                                                                                    
               ceremonial.dance-FINISH-PST.PROG-WHEN                                
                                                                                    
               ‘When they had finished the ceremonial dance…’ (1932:18:124-25)",šoká·k-háŋš-ti-n    
19,"[Taˊkapo icāˊk hatwiˊvat]
/tákapǝ išá·k hatwíβat]",tákapa išá·k hatwíwat,takapa    iša·k     hat-wiw-at,Atakapa   people    REFLEX-believe-PRET,,,takapa    iša·k     hat-wiw-at    ,Atakapa   people    REFLEX-believe-PRET    ,‘The Atakapa people believed it.’ (1932:17:112-13),"[Taˊkapo icāˊk hatwiˊvat]                                            
                                                                                    
               /tákapǝ išá·k hatwíβat]                                              
                                                                                    
          19)  tákapa išá·k hatwíwat                                                
                                                                                    
               takapa    iša·k     hat-wiw-at                                       
                                                                                    
               Atakapa   people    REFLEX-believe-PRET                              
                                                                                    
               ‘The Atakapa people believed it.’ (1932:17:112-13)",tákapa    išá·k     hat-wíw-at    
20,"[tuˊl taˊyut iyeˊ kaˊc]
/túl táyʌt iyékaš/",túl táyot iyékaš,tul  tay-ot    ø-iye-kaš,lake river-DIR 3STATS-be.more-be.deep,,,tul  tay-ot    ø-iye-kaš    ,lake river-DIR 3STATS-be.more-be.deep    ,‘The lake is deeper than the river.’ (1932:125:1),"[tuˊl taˊyut iyeˊ kaˊc]                                              
                                                                                    
                                                                                    
               /túl táyʌt iyékaš/                                                   
                                                                                    
          20)  túl táyot iyékaš                                                     
                                                                                    
               tul  tay-ot    ø-iye-kaš                                             
                                                                                    
               lake river-DIR 3STATS-be.more-be.deep                                
                                                                                    
               ‘The lake is deeper than the river.’ (1932:125:1)",túl  táy-ot    ø-iyé-kaš    
